File,Track,Attribution
"01 - Splatterpunk.mp3","Splatterpunk","Music by Karl Casey @ White Bat Audio"
"02 - Dissent.mp3","Dissent","Music by Karl Casey @ White Bat Audio"
"03 - Blood_Thirst.mp3","Blood Thirst","Music by Karl Casey @ White Bat Audio"
"04 - Night_Ripper.mp3","Night Ripper","Music by Karl Casey @ White Bat Audio"
"05 - Back_from_the_Dead.mp3","Back from the Dead","Music by Karl Casey @ White Bat Audio"
"06 - The_Ultimate_Drug.mp3","The Ultimate Drug","Music by Karl Casey @ White Bat Audio"
"08 - Infamous.mp3","Infamous","Music by Karl Casey @ White Bat Audio"
"10 - Acid_Tongue.mp3","Acide Tongue","Music by Karl Casey @ White Bat Audio"
"11 - License_to_Kill.mp3","License to Kill","Music by Karl Casey @ White Bat Audio"
"12 - Nukem.mp3","Nukem","Music by Karl Casey @ White Bat Audio"
"14 - Hunt_Kill_Repeat.mp3","Hunt Kill Repeat","Music by Karl Casey @ White Bat Audio"
